,0,1,2,3,4,5,RNA_rpkms,degree,TAD Volume,loop nums
147,chr1,143690000,147250000,381,0.196909235709396,2.55956923611826,1.2689781693074396,ultra_high,0.196909235709396,381
372,chr10,100290000,100530000,30,0.0261037342499474,2.17274474014502,6.007770555047158,ultra_high,0.0261037342499474,30
408,chr11,3650000,3800000,25,0.0138701146001019,2.4084944485058,3.2753795962536225,ultra_high,0.0138701146001019,25
469,chr11,61740000,61800000,15,0.0039493652459389,2.94937048386617,4.3298501440253885,ultra_high,0.0039493652459389,15
549,chr12,9060000,9110000,5,0.0063889176502594,1.98158035792109,-2.7908586021614084,ultra_high,0.0063889176502594,5
601,chr12,52880000,52990000,36,0.029613408466183,2.22591907200173,8.66549670120717,ultra_high,0.029613408466183,36
678,chr12,130750000,130820000,14,0.0184662325580958,1.9593812608176,-5.539519529959989,ultra_high,0.0184662325580958,14
752,chr14,49580000,49860000,37,0.0161583076628114,2.65966412830822,3.7287075450941276,ultra_high,0.0161583076628114,37
753,chr14,49860000,50110000,15,0.0111182299102837,2.30672564460642,1.8913219669234782,ultra_high,0.0111182299102837,15
767,chr14,55050000,55190000,37,0.0057847685983951,4.2179850101106,3.269033146455237,ultra_high,0.0057847685983951,37
797,chr14,75310000,75660000,24,0.0260852479683684,2.06543625902287,-1.2670796178917427,ultra_high,0.0260852479683684,24
798,chr14,75660000,75710000,3,0.001662527283663,2.43147304711682,,ultra_high,0.001662527283663,3
802,chr14,76870000,77140000,23,0.0160168679151116,2.33873916223591,1.1796702793474283,ultra_high,0.0160168679151116,23
815,chr14,95430000,95560000,20,0.0071645008446439,2.77793806595793,3.3561790318422227,ultra_high,0.0071645008446439,20
842,chr15,44790000,44850000,11,0.0053761505949313,2.60904195004318,,ultra_high,0.0053761505949313,11
963,chr16,30660000,30700000,2,0.0017827353741612,2.15307199166361,0.6252704893746932,ultra_high,0.0017827353741612,2
1273,chr19,47050000,47260000,28,0.0151071245125555,2.46090222402469,4.742805689473656,ultra_high,0.0151071245125555,28
1278,chr19,49490000,49680000,27,0.0141355920645202,2.5171012401446,6.308169388687172,ultra_high,0.0141355920645202,27
1297,chr2,11470000,11820000,41,0.0396888474051314,2.12424877889005,3.2260460534332216,ultra_high,0.0396888474051314,41
1304,chr2,19900000,20100000,21,0.0172725319471845,2.24017312733704,4.458917840293135,ultra_high,0.0172725319471845,21
1322,chr2,42090000,42340000,47,0.0219042856454039,2.63381285606374,5.716167829797151,ultra_high,0.0219042856454039,47
1335,chr2,47330000,47400000,18,0.0035862583155661,3.37375027843185,4.312628873407654,ultra_high,0.0035862583155661,18
1363,chr2,69910000,70300000,42,0.0463087844728623,2.06062309686969,4.387787584267407,ultra_high,0.0463087844728623,42
1368,chr2,72890000,73170000,29,0.0303813297724938,2.10881065631797,1.8665915195768152,ultra_high,0.0303813297724938,29
1369,chr2,73170000,73220000,4,0.0020872622243835,2.53564932800459,-6.965784284662088,ultra_high,0.0020872622243835,4
1371,chr2,74690000,74890000,15,0.0170142098378147,2.04264080518956,0.5023306017160116,ultra_high,0.0170142098378147,15
1377,chr2,88560000,88690000,35,0.0089317307596824,3.10148620735673,-3.3510744405468786,ultra_high,0.0089317307596824,35
1392,chr2,111120000,112120000,114,0.14164188347496,2.01263194833024,0.9307871277318578,ultra_high,0.14164188347496,114
1437,chr2,187460000,187500000,4,0.0014797554024934,2.73204581370064,,ultra_high,0.0014797554024934,4
1446,chr2,200890000,201180000,43,0.0233153493367162,2.44391051231664,2.337801898238066,ultra_high,0.0233153493367162,43
1447,chr2,201180000,201240000,12,0.0030956702264523,3.0362361233868,0.2082050895044472,ultra_high,0.0030956702264523,12
1467,chr2,222690000,222960000,23,0.0228894416592147,2.11626725115978,2.3849615672144515,ultra_high,0.0228894416592147,23
1490,chr20,4730000,5200000,36,0.0471813545605105,1.96817141526839,5.512377027724848,ultra_high,0.0471813545605105,36
1511,chr20,25400000,31510000,148,0.18910638134693,1.98808468114819,1.5700212671496736,ultra_high,0.18910638134693,148
1512,chr20,31510000,31560000,5,0.0015726681223544,2.87196660355338,0.3371401799558657,ultra_high,0.0015726681223544,5
1516,chr20,34310000,34530000,25,0.0125717996170535,2.583392254317,1.4875720990017984,ultra_high,0.0125717996170535,25
1529,chr20,40960000,41130000,12,0.0127093712564062,2.0973088861454,5.735237834376517,ultra_high,0.0127093712564062,12
1535,chr20,44100000,44210000,9,0.0074272347986546,2.21808460600552,-7.795859283219775,ultra_high,0.0074272347986546,9
1537,chr20,45310000,45450000,10,0.008334998102675,2.20894971956649,3.8085337862320072,ultra_high,0.008334998102675,10
1542,chr20,47190000,47390000,22,0.0127469731300509,2.37009577850802,3.0577535095410364,ultra_high,0.0127469731300509,22
1546,chr20,48920000,49280000,54,0.0287843736090734,2.47496429987858,4.974365829904619,ultra_high,0.0287843736090734,54
1551,chr20,50470000,50580000,11,0.006552284511885,2.3518478565048,-3.50635266602479,ultra_high,0.006552284511885,11
1553,chr20,50640000,50790000,12,0.0100258889883393,2.19628679346983,1.5434958834257717,ultra_high,0.0100258889883393,12
1560,chr20,53950000,54210000,20,0.0248723572656162,2.0044674684986,4.781831791020482,ultra_high,0.0248723572656162,20
1723,chr3,42100000,42230000,15,0.0122381606367643,2.2538152405452,-3.5864059175908247,ultra_high,0.0122381606367643,15
1731,chr3,52410000,52460000,7,0.002327422360886,2.80604983166504,2.797843067065541,ultra_high,0.002327422360886,7
1747,chr3,72840000,73090000,27,0.0288140085235698,2.08619453741412,1.0709617123626587,ultra_high,0.0288140085235698,27
1820,chr3,185590000,185660000,4,0.003702702922481,2.14542975306236,-2.4819685073978306,ultra_high,0.003702702922481,4
1821,chr3,185660000,185940000,31,0.0273527948455897,2.16302371560858,2.749212441061044,ultra_high,0.0273527948455897,31
1822,chr3,185940000,185980000,2,0.0015349492994139,2.290681331456,,ultra_high,0.0015349492994139,2
1868,chr4,73070000,73260000,25,0.0199542397841328,2.2745140089237,3.7613118714763294,ultra_high,0.0199542397841328,25
1877,chr4,82280000,82430000,23,0.0186924586009974,2.26598891239817,3.7105217688865135,ultra_high,0.0186924586009974,23
2089,chr6,2760000,3060000,30,0.0254962014792887,2.18382293315417,3.339360115848175,ultra_high,0.0254962014792887,30
2090,chr6,3060000,3120000,2,0.0021511558834727,2.07703231425844,1.417785018802193,ultra_high,0.0021511558834727,2
2139,chr6,56360000,56850000,36,0.0481158796590857,1.95405780143538,-6.107803289534515,ultra_high,0.0481158796590857,36
2144,chr6,63350000,63810000,29,0.0376287201612371,1.97233015627936,4.116648931196369,ultra_high,0.0376287201612371,29
2155,chr6,85350000,85680000,93,0.0205255641649303,3.21169948959014,4.1669242832527855,ultra_high,0.0205255641649303,93
2164,chr6,106330000,106570000,16,0.0150205952560564,2.13565072600765,,ultra_high,0.0150205952560564,16
2179,chr6,125770000,125960000,12,0.0135670104515354,2.05253795017659,1.31150311546827,ultra_high,0.0135670104515354,12
2226,chr6,167170000,167380000,27,0.0110294078715171,2.69364583286264,2.069289712715535,ultra_high,0.0110294078715171,27
2318,chr7,101080000,101310000,21,0.0261878244214623,2.00088245918947,3.756024416830529,ultra_high,0.0261878244214623,21
2321,chr7,102280000,103070000,78,0.0961170950323006,2.02071910148729,0.7404390637628917,ultra_high,0.0961170950323006,78
2385,chr8,17580000,17920000,32,0.0384938598601709,2.02924095406961,4.495316746613953,ultra_high,0.0384938598601709,32
2390,chr8,22560000,22610000,2,0.0025462232092421,1.99523014223219,0.42519072149344705,ultra_high,0.0025462232092421,2
2392,chr8,23020000,23070000,2,0.0023426237674363,2.03575408173237,5.327058562741093,ultra_high,0.0023426237674363,2
2406,chr8,30600000,30660000,5,0.002793277176485,2.38676104087796,-5.795859283219775,ultra_high,0.002793277176485,5
2492,chr8,140460000,140640000,26,0.0137126510569589,2.49357675423683,1.5314188921182623,ultra_high,0.0137126510569589,26
2638,chr9,136790000,136940000,34,0.0249115075242676,2.32125411230064,3.9129680109927096,ultra_high,0.0249115075242676,34
